Virksomhed;Navn;Type;Status;Undtag
29541868;VUC Storstrøm;4;1;N
29542201;Frederiksværk Gymnasium og HF;4;1;N
29542325;Ørestad Gymnasium, c/o Udd.- og Ungd.forvaltning;4;1;N
29542384;Gladsaxe Gymnasium;4;1;N
29542481;Grenaa Gymnasium og HF;4;1;N
29542589;HF & VUC Klar S/I;4;1;N
29542643;Mariagerfjord Gymnasium;4;1;N
29542708;Rysensteen Gymnasium;4;1;N
29542724;Vestfyns Gymnasium;4;1;N
29542767;Odder Gymnasium;4;1;N
29542791;HF & VUC Fyn;4;1;N
29542805;Frederiksberg HF S/I;4;1;N
29542929;Allerød Gymnasium;4;1;N
29542937;Ringkøbing Gymnasium;4;1;N
29545758;Roskilde Gymnasium;4;1;N
29545987;Frederikssund Gymnasium;4;1;N
29546010;Christianshavns Gymnasium;4;1;N
29546045;Århus Statsgymnasium;4;1;N
29546061;Kolding HF og VUC;4;1;N
29546118;Nakskov Gymnasium;4;1;N
29546142;HF & VUC København Syd S/I;4;1;N
29546185;Paderup Gymnasium;4;1;N
29546274;Helsingør Gymnasium;4;1;N
29546282;Holstebro Gymnasium og HF;4;1;N
29546339;Næstved Gymnasium og HF;4;1;N
29546355;Skanderborg Gymnasium;4;1;N
29546363;Herning HF og VUC;4;1;N
29546428;Århus Akademi;4;1;N
29546525;Middelfart Gymnasium og HF-Kursus;4;1;N
29546592;Herlev Gymnasium og HF;4;1;N
29546606;Øregård Gymnasium;4;1;N
29546614;Ordrup Gymnasium;4;1;N
29546622;Gl. Hellerup Gymnasium;4;1;N
29546649;Gentofte HF;4;1;N
29546746;Aurehøj Amtsgymnasium;4;1;N
29546762;Nykøbing Katedralskole;4;1;N
29547726;Mulernes Legatskole;4;1;N
29547734;Sct. Knuds Gymnasium;4;1;N
29547769;Odense Katedralskole;4;1;N
29547807;Bornholms Sundheds- og Sygeplejeskole;4;1;N
29547823;Herning Gymnasium;4;1;N
29547947;Vesthimmerlands Gymnasium;4;1;N
29548072;Silkeborg Amtsgymnasium;4;1;N
29548145;Social- og Sundhedsskolen i Randers;4;1;N
29548226;Randers HF & VUC Uddannelsescentret;4;1;N
29548269;Randers Statsskole;4;1;N
29548285;Favrskov Gymnasium;4;1;N
29548323;VUC Djursland;4;1;N
29548358;Struer Statsgymnasium;4;1;N
29548382;Lemvig Gymnasium;4;1;N
29548390;Ikast-Brande Gymnasium;4;1;N
29548404;VUC Holstebro-Lemvig-Struer;4;1;N
29550468;Social- & Sundhedsskolen Midt- & Vestjylland S/I;4;1;N
29550549;Vestjysk Gymnasium Tarm;4;1;N
29550646;Rosborg Gymnasium og HF;4;1;N
29550697;Rødkilde Gymnasium;4;1;N
29550751;Tørring Gymnasium;4;1;N
29550883;Munkensdam Gymnasium;4;1;N
29550905;Kolding Gymnasium, HF-Kursus og IB School;4;1;N
29550948;Horsens HF og VUC;4;1;N
29551022;Horsens Gymnasium og HF S/I;4;1;N
29551081;Social- og Sundhedsskolen, Fredericia - Horsens;4;1;N
29551103;Fredericia Gymnasium;4;1;N
29553165;Sosu Nord;4;1;N
29553173;Hasseris Gymnasium;4;1;N
29553254;Nørresundby Gymnasium og HF;4;1;N
29553270;Aalborg Katedralskole;4;1;N
29553343;Aalborghus Gymnasium;4;1;N
29553386;Støvring Gymnasium;4;1;N
29553424;Skive Gymnasium S/I;4;1;N
29553475;Frederikshavn Gymnasium S/I;4;1;N
29553491;Fjerritslev Gymnasium;4;1;N
29553505;Dronninglund Gymnasium;4;1;N
29553513;Brønderslev Gymnasium og HF;4;1;N
29553521;Skive-Viborg HF og VUC S/I;4;1;N
29553556;Viborg Gymnasium S/I;4;1;N
29553564;Viborg Katedralskole;4;1;N
29553572;Thy-Mors HF & VUC;4;1;N
29553599;Thisted Gymnasium - STX og HF;4;1;N
29553602;Social- & Sundhedsskolen Skive-Thisted-Viborg;4;1;N
29553610;Morsø Gymnasium;4;1;N
29553629;Bjerringbro Gymnasium;4;1;N
29553645;SOSU Østjylland S/I;4;1;N
29553777;S/I Aarhus HF & VUC;4;1;N
29553785;Egå Gymnasium;4;1;N
29553807;Viby Gymnasium S/I;4;1;N
29553823;Nærum Gymnasium;4;1;N
29553831;Virum Gymnasium;4;1;N
29553866;Tønder Gymnasium og HF;4;1;N
29553874;Sønderborg Statsskole;4;1;N
29553882;Haderslev Katedralskole;4;1;N
29553890;Nordfyns Gymnasium;4;1;N
29553904;Svendborg Gymnasium;4;1;N
29553920;Midtfyns Gymnasium;4;1;N
29553939;Tornbjerg Gymnasium;4;1;N
29553947;Gribskov Gymnasium;4;1;N
29553955;Espergærde Gymnasium og HF;4;1;N
29553963;Frederiksborg Gymnasium og HF;4;1;N
29553971;VUC Nordsjælland;4;1;N
29554005;Rungsted Gymnasium;4;1;N
29554021;Egedal Gymnasium og HF;4;1;N
29554048;Greve Gymnasium;4;1;N
29554064;Køge Gymnasium;4;1;N
29554102;Roskilde Katedralskole;4;1;N
29554129;Himmelev Gymnasium;4;1;N
29554137;Solrød Gymnasium;4;1;N
29554153;Midtsjællands Gymnasium;4;1;N
29554188;Stenhus Gymnasium;4;1;N
29554226;Nordvestsjællands HF og VUC;4;1;N
29554242;Slagelse Gymnasium & HF-Kursus;4;1;N
29554250;Maribo Gymnasium;4;1;N
29554269;SOSU Nykøbing Falster;4;1;N
29554277;Vordingborg Gymnasium & HF;4;1;N
29554285;Aarhus Katedralskole;4;1;N
29554293;Marselisborg Gymnasium;4;1;N
29554307;Risskov Gymnasium;4;1;N
29554315;Borupgaard Amtsgymnasium;4;1;N
29554358;Birkerød Gymnasium, HF og kostskole;4;1;N
29554366;Esbjerg Gymnasium og HF;4;1;N
29554382;HF og VUC Vest S/I;4;1;N
29554390;Social- og Sundhedsskolen i Esbjerg;4;1;N
29554404;Grindsted Gymnasie- og Erhvervsskole S/I;4;1;N
29556296;Ribe Katedralskole;4;1;N
29556318;Varde Gymnasium S/I;4;1;N
29556369;Falkonergårdens Gymnasium og HF;4;1;N
29556377;HF-Centret Efterslægten;4;1;N
29556393;Københavns åbne Gymnasium;4;1;N
29556407;Vejen Gymnasium og HF;4;1;N
29556431;VUC Syd S/I;4;1;N
29556482;Social-og Sundhedsskolen;4;1;N
29556490;SOSU C Brøndby, Gladsaxe, Herlev;4;1;N
29556512;Tårnby Gymnasium;4;1;N
29558698;Kalundborg Gymnasium og HF-kursus;4;1;N
29575649;Nørre Gymnasium;4;1;N
29575711;KVUC - Københavns Voksenuddannelsescenter S/I;4;1;N
29575738;Nyborg Gymnasium og HF;4;1;N
29575746;Social- og Sundhedsskolen Fyn;4;1;N
29575754;Hvidovre Gymnasium og HF;4;1;N
29575762;Rødovre Gymnasium;4;1;N
29575770;Frederiksberg VUC og STX S/I;4;1;N
29575789;Frederiksberg Gymnasium;4;1;N
29575800;Faaborg Gymnasium;4;1;N
29575827;Høje-Taastrup Gymnasium;4;1;N
29580774;HF og VUC Roskilde-Køge S/I;4;1;N
29586055;Vestegnen HF og VUC S/I;4;1;N
29586241;Hjørring Gymnasium og HF-kursus;4;1;N
29589968;Th. Langs HF og VUC;4;1;N
29611610;Varde Handelsskole og Handelsgymnasium;4;1;N
29626146;Tværgående IT-understøtning i beskæftigelsesindsatsen;1;1;N
29634750;Styrelsen for Undervisning og Kvalitet;1;1;N
29723133;Aabenraa Statsskole;4;1;N
29747180;Alssundgymnasiet Sønderborg;4;1;N
29748500;VUC Lyngby;4;1;N
29776938;Danmarks Miljøportal - Digital miljøforvaltning;1;1;N
29831610;Søfartsstyrelsen;1;1;N
29968381;Høng Gymnasium og HF-kursus;4;1;N
29979812;Københavns Universitet;4;1;N
30060946;Danmarks Tekniske Universitet;4;1;N
30343948;Kofoeds Skole;3;1;N
30420861;Sjællands Kirkemusikskole;5;1;N
30515145;Finansiel Stabilitet A/S;6;1;N
30595238;Årpenge mv.;1;1;J
30603907;Danmarks Akkrediteringsinstitution;1;1;N
30741633;Naturskaderådet;6;1;N
30773047;Professionshøjskolen VIA University College;4;1;N
30840402;University College Syddanmark;4;1;N
30843126;Professionshøjskolen University College Nordjylland;4;1;N
30859480;UCL Erhvervsakademi & Professionshøjskole S/I;4;1;N
30874323;Professionshøjskolen Absalon S/I;4;1;N
30876164;Stiftelsen Georg Stages Minde;4;1;N
30891732;Københavns Professionshøjskole S/I;4;1;N
30935942;Nordic Patent Institute;6;1;N
31083869;Klima-, Energi- og Forsyningsministeriet, Dep.;1;1;N
31111048;Danmarks Medie- og Journalisthøjskolen;4;1;N
31119103;Aarhus Universitet;4;1;N
31412242;Nordsøenheden;6;1;N
31565162;Erhvervsakademi Dania;4;1;N
31642124;IBA Erhvervsakademi Kolding S/I;4;1;N
31653347;Erhvervsakademi Midtvest;4;1;N
31656206;Københavns Erhvervsakademi;4;1;N
31661471;Zealand Sjællands Erhvervsakademi S/I;4;1;N
31677971;Erhvervsakademi Århus;4;1;N
31678021;Erhvervsakademiet Copenhagen Business Academy;4;1;N
31689791;Erhvervsakademi SydVest;4;1;N
31714559;Jordbrugets UddannelsesCenter Århus;4;1;N
31786401;Statens It;1;1;N
32037232;Center for Boligsocial Udvikling;5;1;N
32469647;Syddansk Musikkonservatorium;1;1;N
32471811;Det Jyske Musikkonservatorium;1;1;N
32509444;NTS-centeret;4;1;N
32799868;Syddjurs Gymnasium S/I;4;1;N
32806872;Tradium;4;1;N
32972012;Gefion Gymnasium;4;1;N
33157274;Naturstyrelsen;1;1;N
33236239;Udbetaling Danmark;6;1;N
33257872;Sundhedsdatastyrelsen;1;1;N
33257961;Fællessekretariatet for DCH og Frivilligrådet;1;1;N
33284101;SOSU H S/I;4;1;N
33292384;Institut for Flerpartisamarbejde;5;1;N
33359217;Skanderborg Odder, Center for uddannelse;4;1;N
33391005;Statens Administration;1;1;N
33560338;Madkulturen;5;1;N
33604084;Garantifonden for Skadesforsikringsselskaber;6;1;N
33746210;Den Maritime Havarikommission;1;1;N
33750250;Forsyningstilsynet;1;1;N
33946384;Folketingets Ombudsmand;1;1;N
33962452;Social-, Bolig- og Ældreministeriet;1;1;N
34042012;Uddannelses- og Forskningsstyrelsen;1;1;N
34050759;Politiklagemyndigheden og Bevismiddeltilsynet;1;1;N
34051178;Digitaliseringsstyrelsen;1;1;N
34072191;Slots- og Kulturstyrelsen;1;1;N
34462674;Dansk Institut for Internationale Studier (DIIS);5;1;N
34481490;Institut for Menneskerettigheder;5;1;J
34590818;Uddannelses- og Forskningsstyrelsens IT;1;1;N
34730415;Spillemyndigheden;1;1;N
34730466;Skatteministeriet, Departementet;1;1;N
34734577;Rådet for Socialt Udsatte;1;1;N
35197192;Reproduction Research Center;6;1;N
35228616;Syddansk Erhvervsskole Odense-Vejle;4;1;N
35476431;Tilsyn med efterretningstjenesterne;1;1;N
35634398;Havarikommissionen for Vejtrafik;1;1;N
35891013;EUC SYD Erhvervsuddannelsescenter;4;1;N
36441097;Klimarådet;1;1;N
36977191;Udlændinge- og Integrationsministeriet (UIM);1;1;N
36997427;Styrelsen for International Rekruttering og Integration;1;1;N
37052485;Lægemiddelstyrelsen;1;1;N
37105562;Styrelsen for Patientsikkerhed;1;1;N
37127655;AMU-Fyn;4;1;N
37129712;CAMPUS Vejle;4;1;N
37273317;Skive College S/I;4;1;N
37284114;Klimadatastyrelsen;1;1;N
37624780;Arbejdsmarkedets Erhverssikring;6;1;N
37709514;Den Jydske Haandværkerskole;4;1;N
37795526;Nævnenes Hus;1;1;N
38442813;Campus Bornholm;4;1;N
38648098;Fællesfonden v/Folkekirkens Administrative Fællesskab (AdF);5;1;N
38679694;Digital Post, Forsvarsministeriets Personalestyrelse;1;3;N
38683322;Digital Post, Værnsfælles Forsvarskommando;1;3;N
38683381;Digital Post, Forsvarsministeriets Materiel- og Indkøbsstyrelse;1;3;N
38683438;Digital Post, Forsvarsministeriets Regnskabsstyrelse;1;3;N
38683470;Digital Post, Forsvarsministeriets Ejendomsstyrelse;1;3;N
39097176;Fiskeristyrelsen;1;1;N
39301016;EUC Nordvest;4;1;N
39440636;Studievalg Danmark;1;1;N
39541335;Digital Post, Forsvarsministeriets Auditørkorps;1;3;N
39747510;Aarhus TECH;4;1;N
39815362;S/I FGU Vendsyssel;4;1;N
39815427;S/I FGU-institutionen i Aalborg;4;1;N
39815435;S/I FGU Nordvest;4;1;N
39815443;S/I FGU Himmerland;4;1;N
39815451;S/I FGU Skolen HLSS;4;1;N
39815478;S/I FGU Østjylland;4;1;N
39815486;S/I FGU Midtjylland;4;1;N
